id,region_id,timestamp,temperature_celsius,humidity_percent,precipitation_mm,atmospheric_pressure_mb,wind_speed_kmh,source,created_at
1,1,2025-07-02T08:05:05.858201,24.83,52.47,21.22,1016.84,1.16,Synthetic Data - Grupo 7,2025-11-04T08:05:05.858322
2,17,2025-02-23T08:05:05.858391,24.31,91.02,20.5,1019.09,2.43,Synthetic Data - Grupo 7,2025-11-04T08:05:05.858440
3,9,2025-07-04T08:05:05.858494,34.67,71.21,9.77,1007.52,1.86,Synthetic Data - Grupo 7,2025-11-04T08:05:05.858531
4,19,2025-06-10T08:05:05.858572,19.69,77.1,5.87,1016.1,2.93,Synthetic Data - Grupo 7,2025-11-04T08:05:05.858604
5,18,2025-06-07T08:05:05.858642,34.36,75.95,1.3,1004.45,3.65,Synthetic Data - Grupo 7,2025-11-04T08:05:05.858674
6,12,2025-09-29T08:05:05.858710,24.27,72.71,1.63,1017.08,4.71,Synthetic Data - Grupo 7,2025-11-04T08:05:05.858741
7,1,2025-07-12T08:05:05.858777,26.13,82.71,0.05,1014.47,1.81,Synthetic Data - Grupo 7,2025-11-04T08:05:05.858808
8,14,2024-12-02T08:05:05.858840,10.6,57.95,25.98,1006.35,3.27,Synthetic Data - Grupo 7,2025-11-04T08:05:05.858870
9,8,2025-06-23T08:05:05.858901,20.2,86.57,3.91,1024.37,3.73,Synthetic Data - Grupo 7,2025-11-04T08:05:05.858929
10,6,2025-03-20T08:05:05.858960,29.39,66.41,4.99,1013.07,8.67,Synthetic Data - Grupo 7,2025-11-04T08:05:05.858988
11,1,2024-12-23T08:05:05.859024,38.92,69.53,7.32,1004.08,2.74,Synthetic Data - Grupo 7,2025-11-04T08:05:05.859054
12,9,2025-09-29T08:05:05.859085,24.38,81.11,17.0,1008.77,0.75,Synthetic Data - Grupo 7,2025-11-04T08:05:05.859116
13,3,2025-06-30T08:05:05.859146,18.29,45.67,9.3,1016.18,1.25,Synthetic Data - Grupo 7,2025-11-04T08:05:05.859175
14,10,2025-02-05T08:05:05.859205,27.25,96.68,1.76,1005.24,2.18,Synthetic Data - Grupo 7,2025-11-04T08:05:05.859234
15,7,2024-12-27T08:05:05.859265,19.08,77.42,0.37,1010.22,3.01,Synthetic Data - Grupo 7,2025-11-04T08:05:05.859293
16,15,2025-08-05T08:05:05.859324,17.2,100.0,5.57,1008.43,2.29,Synthetic Data - Grupo 7,2025-11-04T08:05:05.859354
17,17,2025-05-09T08:05:05.859389,15.04,76.39,8.8,1019.05,2.96,Synthetic Data - Grupo 7,2025-11-04T08:05:05.859418
18,15,2024-11-15T08:05:05.859450,31.82,82.43,18.62,1002.87,3.84,Synthetic Data - Grupo 7,2025-11-04T08:05:05.859479
19,19,2025-08-05T08:05:05.859510,20.71,82.6,1.02,1012.32,1.68,Synthetic Data - Grupo 7,2025-11-04T08:05:05.859539
20,1,2025-09-08T08:05:05.859570,24.42,82.48,1.37,1013.92,5.06,Synthetic Data - Grupo 7,2025-11-04T08:05:05.859599
21,5,2025-01-31T08:05:05.859629,19.08,73.43,0.64,1009.6,2.7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.859658
22,14,2025-04-15T08:05:05.859689,22.25,86.45,3.12,1010.9,3.71,Synthetic Data - Grupo 7,2025-11-04T08:05:05.859717
23,4,2025-01-19T08:05:05.859748,25.01,81.34,3.88,1017.86,9.12,Synthetic Data - Grupo 7,2025-11-04T08:05:05.859776
24,2,2025-05-29T08:05:05.859807,25.57,79.93,2.46,1009.92,12.3,Synthetic Data - Grupo 7,2025-11-04T08:05:05.859835
