id,region_id,event_date,severity,affected_population,damage_estimate_aoa,description,data_source,created_at
1,15,2016-09-17T08:05:05.939385,severe,2754,6949502,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.939458
2,13,2024-11-06T08:05:05.939493,minor,5840,6576137,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.939551
3,1,2019-11-22T08:05:05.939581,moderate,2163,3289291,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.939631
4,6,2024-09-11T08:05:05.939660,catastrophic,9532,3916707,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.939708
5,4,2016-01-17T08:05:05.939737,moderate,7742,108798,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.939786
6,12,2019-07-11T08:05:05.939814,catastrophic,4898,7693832,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.939862
7,8,2017-11-03T08:05:05.939890,minor,5818,8479702,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.939938
8,12,2017-09-12T08:05:05.939965,minor,1886,4310563,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.940013
9,20,2021-10-09T08:05:05.940040,severe,8369,5616829,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.940088
10,8,2019-10-10T08:05:05.940115,minor,8573,7924641,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.940162
11,8,2018-12-14T08:05:05.940189,moderate,4961,8785116,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.940237
12,12,2016-09-10T08:05:05.940265,minor,8019,8404932,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.940314
13,16,2021-07-30T08:05:05.940341,moderate,1038,2598544,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.940388
14,14,2021-03-11T08:05:05.940416,minor,3962,6246685,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.940463
15,11,2020-06-22T08:05:05.940490,minor,4039,2427654,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.940536
16,2,2020-06-28T08:05:05.940564,severe,6537,401951,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.940611
17,18,2022-04-07T08:05:05.940637,catastrophic,4235,1786279,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.940685
18,8,2021-04-10T08:05:05.940712,minor,2383,6215790,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.940759
19,4,2020-09-13T08:05:05.940786,severe,2577,6678518,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.940833
20,8,2022-06-27T08:05:05.940860,severe,9494,1273077,Evento de inundação simulado - Grupo 7,Synthetic Data - Grupo 7,2025-11-04T08:05:05.940907
