provincia,latitude,longitude,ano,mes,precipitacao_mm,temperatura_C,humidade_percent,vento_kmh,rad_solar_Wm2,flood
Luanda,-8.839,13.289,2025,1,50,28,70,15,220,0
Luanda,-8.839,13.289,2025,2,60,28,72,14,225,0
Luanda,-8.839,13.289,2025,3,80,27,75,16,230,0
Luanda,-8.839,13.289,2025,4,120,27,80,15,210,0
Luanda,-8.839,13.289,2025,5,180,26,85,13,200,1
Luanda,-8.839,13.289,2025,6,220,25,88,12,190,1
Luanda,-8.839,13.289,2025,7,200,24,87,14,185,1
Luanda,-8.839,13.289,2025,8,150,25,82,13,195,0
Luanda,-8.839,13.289,2025,9,100,26,78,14,205,0
Luanda,-8.839,13.289,2025,10,70,27,74,15,215,0
Luanda,-8.839,13.289,2025,11,60,28,72,16,220,0
Luanda,-8.839,13.289,2025,12,50,28,70,15,225,0
Benguela,-12.576,13.406,2025,1,120,27,75,12,210,0
Benguela,-12.576,13.406,2025,2,130,27,76,12,215,0
Benguela,-12.576,13.406,2025,3,150,26,78,13,220,0
Benguela,-12.576,13.406,2025,4,180,26,82,12,205,0
Benguela,-12.576,13.406,2025,5,200,25,85,11,195,1
Benguela,-12.576,13.406,2025,6,220,24,88,12,190,1
Benguela,-12.576,13.406,2025,7,210,24,87,12,185,1
Benguela,-12.576,13.406,2025,8,180,25,84,13,195,0
Benguela,-12.576,13.406,2025,9,140,26,80,13,205,0
Benguela,-12.576,13.406,2025,10,120,27,78,14,210,0
Benguela,-12.576,13.406,2025,11,110,27,76,14,215,0
Benguela,-12.576,13.406,2025,12,100,27,75,12,220,0
Huíla,-14.917,13.933,2025,1,90,24,80,10,200,0
Huíla,-14.917,13.933,2025,2,100,25,81,10,205,0
Huíla,-14.917,13.933,2025,3,120,25,82,11,210,0
Huíla,-14.917,13.933,2025,4,150,24,85,12,200,0
Huíla,-14.917,13.933,2025,5,180,23,87,12,190,1
Huíla,-14.917,13.933,2025,6,200,22,88,13,185,1
Huíla,-14.917,13.933,2025,7,190,22,87,12,180,1
Huíla,-14.917,13.933,2025,8,160,23,85,13,190,0
Huíla,-14.917,13.933,2025,9,120,24,82,12,200,0
Huíla,-14.917,13.933,2025,10,100,25,80,12,205,0
Huíla,-14.917,13.933,2025,11,90,25,78,11,210,0
Huíla,-14.917,13.933,2025,12,80,24,77,12,215,0
