YEAR,MONTH,precipitacao_mm,temperatura_C,humidade_percent,vento_kmh,rad_solar_Wm2_mes
2024,1,33.17,27.11,82.14,4.716,589.3100000000001
2024,2,96.57000000000001,27.97,82.09,3.9240000000000004,537.95
2024,3,97.96000000000001,28.25,83.12,4.104,559.5500000000001
2024,4,56.1,28.41,81.09,4.032000000000001,537.6
2024,5,39.68,28.77,75.66,5.184,459.42
2024,6,12.9,25.98,72.92,6.084,408.0
2024,7,0.0,24.36,73.41,6.516,417.57
2024,8,0.9299999999999999,24.37,72.27,7.452,384.09000000000003
2024,9,9.3,26.58,71.31,8.316,329.40000000000003
2024,10,40.92,27.55,71.94,8.172,389.05
2024,11,150.29999999999998,27.09,79.72,5.652,436.2
2024,12,127.1,27.2,82.54,4.14,507.47
