YEAR,MONTH,precipitacao_mm,temperatura_C,humidade_percent,vento_kmh,rad_solar_Wm2_mes
2024,1,46.5,28.29,44.23,8.136,822.12
2024,2,53.650000000000006,29.35,44.5,7.5600000000000005,736.02
2024,3,18.599999999999998,30.1,35.99,8.64,752.6800000000001
2024,4,6.0,27.58,34.27,9.395999999999999,660.6
2024,5,0.0,23.27,24.48,10.8,631.78
2024,6,0.0,19.24,27.66,10.764000000000001,564.6
2024,7,0.0,19.97,14.86,6.408,603.5699999999999
2024,8,0.0,22.66,15.09,9.432,667.4300000000001
2024,9,0.3,26.68,18.57,8.712,690.0
2024,10,0.0,28.83,17.93,10.656,850.33
2024,11,13.8,30.03,33.84,8.568,751.5
2024,12,24.8,30.01,36.54,7.452,773.4499999999999
