YEAR,MONTH,precipitacao_mm,temperatura_C,humidade_percent,vento_kmh,rad_solar_Wm2_mes
2024,1,83.7,21.91,67.8,6.444,559.24
2024,2,81.49,23.34,64.73,6.192,601.75
2024,3,117.49,22.99,66.97,6.012,604.8100000000001
2024,4,57.0,21.91,59.8,7.308,609.6
2024,5,0.31,20.34,35.61,7.596,681.6899999999999
2024,6,0.0,17.94,35.22,8.532,621.5999999999999
2024,7,0.0,18.49,22.95,7.092,628.99
2024,8,0.0,20.13,22.03,9.468,669.6
2024,9,4.2,23.73,34.41,8.28,654.6
2024,10,26.97,24.66,41.85,7.74,681.0699999999999
2024,11,97.8,22.06,68.16,5.652,545.4
2024,12,99.51,22.39,67.78,5.472,595.1999999999999
