YEAR,MONTH,precipitacao_mm,temperatura_C,humidade_percent,vento_kmh,rad_solar_Wm2_mes
2024,1,47.12,23.18,59.53,6.084,749.89
2024,2,166.75,23.48,72.07,5.22,618.86
2024,3,74.39999999999999,24.2,63.89,5.436,679.5200000000001
2024,4,16.8,23.55,51.93,6.696000000000001,666.3000000000001
2024,5,1.55,21.72,32.95,8.1,647.28
2024,6,0.0,18.55,33.99,8.604000000000001,578.1
2024,7,0.0,19.25,24.58,6.264,587.76
2024,8,0.0,21.13,24.6,8.676,613.1800000000001
2024,9,1.7999999999999998,23.75,37.08,7.488,666.3000000000001
2024,10,0.9299999999999999,25.24,37.67,8.208,796.6999999999999
2024,11,29.4,23.74,57.98,6.444,615.3000000000001
2024,12,69.75,23.71,61.27,5.58,685.72
