YEAR,MONTH,precipitacao_mm,temperatura_C,humidade_percent,vento_kmh,rad_solar_Wm2_mes
2024,1,61.69,25.05,60.22,7.056,584.35
2024,2,93.09,26.47,56.1,6.192,595.08
2024,3,93.62,25.19,62.9,6.696000000000001,607.29
2024,4,102.9,22.63,65.81,7.272,577.5
2024,5,8.680000000000001,21.82,39.1,7.5600000000000005,678.9
2024,6,0.0,20.13,33.0,8.208,612.3
2024,7,0.0,20.02,20.78,7.632000000000001,617.83
2024,8,0.0,22.01,19.71,9.756,672.39
2024,9,5.1000000000000005,26.23,25.93,8.748000000000001,633.9
2024,10,19.53,27.08,36.82,8.64,651.3100000000001
2024,11,46.2,25.71,55.54,6.3,508.5
2024,12,62.0,25.72,55.65,6.48,625.58
