YEAR,MONTH,precipitacao_mm,temperatura_C,humidade_percent,vento_kmh,rad_solar_Wm2_mes
2024,1,62.0,23.39,79.29,4.32,642.3199999999999
2024,2,225.62,24.32,82.15,3.204,547.52
2024,3,105.39999999999999,24.62,82.33,3.456,560.79
2024,4,204.29999999999998,24.02,82.29,3.9600000000000004,560.7
2024,5,6.82,25.18,61.62,4.572,616.9
2024,6,0.6,24.03,50.03,5.04,547.1999999999999
2024,7,0.9299999999999999,22.92,56.19,4.212,538.78
2024,8,2.79,23.62,58.08,5.688000000000001,474.61
2024,9,21.0,25.65,59.35,5.832000000000001,481.5
2024,10,38.13,25.68,65.66,5.148,510.26000000000005
2024,11,162.89999999999998,23.87,80.63,3.9240000000000004,474.3
2024,12,316.51000000000005,23.36,84.09,3.204,538.47
