provincia,latitude,longitude,ano,mes,precipitacao_mm,temperatura_C,humidade_percent,vento_kmh,rad_solar_Wm2,flood
Cunene,-16.267328584698877,15.786173569882882,2023,2,165.35982566333453,31.694854277392274,95.0,15.069738916611636,155.58322751995894,1
Moxico,-11.795743995641404,19.953658230718755,2024,2,89.31510498175321,23.89654779436252,72.24014570394091,7.948675518662305,213.19863082400525,0
Huíla,-15.007802407552122,13.79176962986647,2024,12,255.30828458671544,21.411325119706746,95.0,12.443690358839465,100.0,1
Uíge,-7.579430198165433,14.98993613100812,2023,12,250.98365804560427,24.776340938434306,95.0,15.290179648412757,100.0,1
Huíla,-14.896113640499525,13.737032987612022,2025,1,135.7446949549408,24.650774893523202,85.99245616710576,10.795585217642845,145.16460276334394,1
Luanda,-8.91098442083947,13.242936122904021,2024,8,0.0,31.173362533229113,56.149177195836835,9.292311998776166,265.2919072210217,0
Benguela,-12.472900047750406,13.49912801191162,2023,11,127.977026780975,27.84489293898111,80.8036629777421,11.257364093344732,158.3531122593618,1
Cunene,-16.436620662408068,15.881252582239421,2023,11,237.91798836530188,29.398433794410785,95.0,13.445582422033656,169.49191997899828,1
Cunene,-16.320582603910996,15.956464365581402,2023,3,11.624156842657925,30.19529398305165,63.242439133886606,5.0,238.69612438273322,0
Cunene,-16.281288742848826,15.947789404474152,2025,7,14.581884326990956,30.756115970766736,66.20388796199504,9.880959184931845,255.5407436643384,0
Uíge,-7.607292245065196,15.14686449905329,2023,8,84.19569352848822,25.149403284606286,79.8003414763434,13.044221088719556,208.0299896518174,0
Moxico,-11.873458713337515,19.85846292579496,2023,10,124.89941578508349,25.07264239944745,89.02039172516209,19.54474360484212,191.91473742825423,1
Benguela,-12.550244960927724,13.398555408423384,2024,1,65.86834553327873,30.641835417829498,71.25005945884453,13.20618936933445,216.19803299072956,0
Cunene,-16.433867803761952,15.914282281451502,2025,9,27.757037009893324,34.686255360490236,51.53289677405586,14.347428375201082,290.88287214030277,0
Luanda,-8.93805363251307,13.232370227039722,2025,5,0.0,29.095893153976643,49.37696286273895,13.894369722540727,227.01439414415492,0
Cunene,-16.162006559498245,15.721674670766378,2023,5,0.0,32.968224336645534,73.07142754282428,5.57006706175509,254.6158464633076,0
Benguela,-12.550011720575158,13.484182287177731,2024,6,50.91923275094529,26.804563783681225,72.68877505364783,13.385792837987903,207.53976558506508,1
Moxico,-11.8267746302839,20.029307247329868,2025,2,148.49741672603523,27.94459377648554,95.0,8.101273319090714,195.42840673054368,1
Luanda,-8.72314044209926,13.206931768164829,2023,1,202.83061126205078,31.670751327853917,95.0,8.985055342570043,126.34683362833654,1
Uíge,-7.698581028496544,15.042289829058591,2024,2,251.8730962119129,26.5728844364769,95.0,10.941372667048176,192.06768105878402,1
Benguela,-12.5134332652235,13.320284244358373,2024,5,31.878266479002228,31.03594557162451,71.1080295415359,11.70868434937251,212.89102380878876,0
Huíla,-15.068484722468586,13.888348504793298,2023,12,185.44777635481398,24.687958877037183,95.0,8.464570255195468,161.1192394712312,1
Luanda,-8.8331791281554,13.174702970216938,2023,3,180.3809053126725,30.702272130788824,82.29948738296359,8.248699840339508,172.68542902388026,1
Benguela,-12.52462140490878,13.457504768630605,2023,6,171.1215990185124,31.572783666626137,95.0,10.738923021438618,183.41343100307552,1
Uíge,-7.694282521453757,15.026318139326,2025,3,255.1715796087501,23.362850489885023,95.0,5.549136515241393,110.6159135508891,1
Cunene,-16.208104940303265,15.806428001909547,2025,5,38.83303690945415,28.473842633904358,69.93119327771059,12.182287359615255,214.2934728551275,0
Cunene,-16.10260559106747,15.863391902231802,2024,3,18.889276724068008,30.65155863173319,55.85264796048659,11.541054234132403,253.18004361247742,0
Cabinda,-5.4634244805829875,12.076970359294421,2023,6,73.71009830596968,30.698290738099733,78.79183677080349,6.956464182659819,236.09149952338458,0
Huíla,-14.704784380298737,14.036246526055114,2023,12,142.03883617789802,21.970027655839328,92.84596151704189,15.098536213717347,155.8073201215989,1
Cabinda,-5.555952535606179,11.872873265993093,2023,11,111.34712247434001,28.943480653111134,67.96801071526168,10.239822053212064,197.59495319498225,1
Luanda,-8.694872671093389,13.145413784882056,2025,9,23.818015511660658,30.71362133343408,66.75420005806683,9.599132491364822,239.83604436892017,0
Uíge,-7.655531359686176,15.061351734525125,2024,11,205.97206876124687,32.3715836942751,81.67353575702435,11.392859619857667,161.72189578149099,1
Cunene,-16.288900813226498,15.73773004801794,2025,2,111.9129447738099,29.28840127621387,85.95274381441246,9.228361618957383,216.5335244989263,1
Cunene,-16.28627004791234,15.881286211883896,2025,5,35.78714563256315,30.462950385840745,73.26113178084728,11.916393624143408,235.039611766438,0
Cunene,-16.189233510421158,15.740842861116418,2025,4,160.8244329616853,30.243779973112996,95.0,15.254038544002555,202.2247536980156,1
Huambo,-12.773899615836724,15.807195297129498,2024,12,170.58237053929668,25.79382665246596,95.0,8.72711726706611,217.01849662248816,0
Luanda,-8.939601738149971,13.167581138721227,2023,10,206.62913818656807,30.525843651822292,95.0,8.410982514056673,148.58054486155913,0
Huíla,-14.984716171151211,14.030511973341776,2023,6,67.41727712036743,24.968402787828413,67.84620989603374,8.711118417734275,222.3835417271141,1
