provincia,latitude,longitude,ano,mes,precipitacao_mm,temperatura_C,humidade_percent,vento_kmh,rad_solar_Wm2,flood
Luanda,-8.789328584698877,13.275173569882881,2024,4,155.35982566333453,30.694854277392277,95.0,15.069738916611636,160.58322751995894,1
Cunene,-16.262743995641404,15.753658230718754,2023,6,0.0,28.89654779436252,54.37712470759027,7.948675518662305,257.85618331488183,0
Luanda,-8.929802407552122,13.14776962986647,2024,12,205.30828458671544,25.411325119706746,95.0,12.443690358839465,118.57101827108471,1
Benguela,-12.538430198165432,13.34593613100812,2024,3,200.98365804560427,25.776340938434306,89.61962231956186,15.290179648412757,118.9870797279223,1
Huíla,-14.896113640499525,13.737032987612022,2023,6,75.59027642189369,26.650774893523202,73.96157246049634,10.795585217642845,175.24181202986748,0
Cabinda,-5.62198442083947,12.150936122904021,2024,11,199.96490665006377,28.173362533229113,95.0,9.292311998776166,165.3094538959898,1
Cunene,-16.213900047750403,15.893128011911621,2025,12,107.977026780975,29.84489293898111,76.8036629777421,11.257364093344732,168.3531122593618,0
Huambo,-12.895620662408067,15.820252582239421,2023,12,287.9179883653019,25.398433794410785,95.0,13.445582422033656,144.49191997899828,1
Moxico,-11.853582603910995,20.1564643655814,2023,9,20.216509965350248,29.19529398305165,64.96090975842507,5.0,234.39994782138706,0
Cabinda,-5.514288742848825,12.34478940447415,2024,3,159.0337777787815,26.756115970766736,95.0,9.880959184931845,183.31479693844312,1
Benguela,-12.566292245065197,13.50286449905329,2024,1,113.13410071216765,24.149403284606286,85.58802291307929,13.044221088719556,193.5607860599777,1
Luanda,-8.862458713337515,13.147462925794958,2025,11,84.89941578508349,27.07264239944745,81.02039172516209,19.54474360484212,211.91473742825423,0
Luanda,-8.813244960927724,13.281555408423383,2024,2,35.86834553327872,31.641835417829498,65.25005945884453,13.20618936933445,231.19803299072956,0
Benguela,-12.692867803761954,13.520282281451502,2023,1,170.31502799049656,30.686255360490243,80.0444949701765,14.347428375201082,219.60387665000118,1
Uíge,-7.716053632513069,14.993370227039723,2025,1,168.4626653223981,25.095893153976643,83.06949592721857,13.894369722540727,142.78306148295587,1
Moxico,-11.695006559498246,19.921674670766375,2023,12,116.97099469669757,27.968224336645534,95.0,5.57006706175509,196.13034911495882,1
Luanda,-8.813011720575158,13.36718228717773,2023,5,20.91923275094529,27.804563783681225,66.68877505364783,13.385792837987903,222.53976558506508,0
Cabinda,-5.526774630283899,12.226307247329867,2025,1,178.49741672603523,28.94459377648554,95.0,8.101273319090714,180.42840673054368,1
Benguela,-12.46014044209926,13.32393176816483,2023,8,103.92932738472113,32.67075132785392,78.33198431691552,8.985055342570043,175.79747556700136,0
Cabinda,-5.6315810284965435,12.18928982905859,2023,10,131.6385369674136,29.5728844364769,95.0,10.941372667048176,252.18496068103366,1
Huíla,-14.854433265223498,13.847284244358372,2025,6,51.87826647900223,28.03594557162451,75.1080295415359,11.70868434937251,202.89102380878876,0
Cabinda,-5.701484722468586,12.152348504793297,2025,6,79.7558125251098,29.687958877037183,79.80433630231032,8.464570255195468,213.96522138608327,1
Huíla,-14.9111791281554,13.818702970216938,2024,2,230.3809053126725,26.702272130788824,92.29948738296359,8.248699840339508,147.68542902388026,1
Huíla,-14.86562140490878,13.984504768630604,2025,1,406.70354373815405,26.572783666626137,95.0,10.738923021438618,100.0,1
Huambo,-12.853282521453757,15.715318139326,2025,3,235.1715796087501,22.362850489885023,95.0,5.549136515241393,120.6159135508891,1
Moxico,-11.741104940303263,20.006428001909548,2025,6,68.83303690945415,25.473842633904358,75.93119327771059,12.182287359615255,199.2934728551275,0
Benguela,-12.361605591067468,13.469391902231802,2025,8,0.0,30.65155863173319,52.07479261567299,11.541054234132403,262.6246819745114,0
Benguela,-12.489424480582988,13.285970359294422,2024,9,33.71009830596968,30.698290738099733,70.79183677080349,6.956464182659819,256.0914995233846,0
Huíla,-14.704784380298737,14.036246526055114,2023,1,142.03883617789802,21.970027655839328,92.84596151704189,15.098536213717347,155.8073201215989,1
Uíge,-7.62295253560618,14.725873265993094,2024,6,52.07875171436872,29.943480653111134,56.11433656326742,10.239822053212064,227.22913857496792,1
Cunene,-16.172872671093387,15.656413784882057,2024,8,33.81801551166066,31.71362133343408,68.75420005806683,9.599132491364822,234.83604436892017,0
Benguela,-12.614531359686177,13.417351734525125,2023,11,155.97206876124687,33.3715836942751,71.67353575702435,11.392859619857667,186.72189578149099,0
Uíge,-7.588900813226497,14.98773004801794,2025,4,181.9129447738099,26.28840127621387,95.0,9.228361618957383,181.5335244989263,1
Uíge,-7.586270047912339,15.131286211883896,2024,8,105.78714563256315,27.462950385840745,87.26113178084728,11.916393624143408,200.039611766438,1
Luanda,-8.711233510421158,13.229842861116417,2025,5,34.41151152658415,31.243779973112996,75.13646579519713,15.254038544002555,265.43121441556616,1
Uíge,-7.614899615836724,15.118195297129498,2024,2,190.58237053929668,26.79382665246596,95.0,8.72711726706611,207.01849662248816,1
Huambo,-12.87660173814997,15.617581138721228,2023,12,266.62913818656807,27.525843651822292,95.0,8.410982514056673,118.58054486155912,1
Huambo,-12.843716171151211,15.836511973341777,2024,7,77.41727712036743,25.968402787828413,69.84620989603374,8.711118417734275,217.3835417271141,0
Luanda,-8.814503342889129,13.238305682462887,2025,5,0.0,28.352904213150442,52.81555778747564,11.146211393152612,257.7726891399501,0
Benguela,-12.428464378305046,13.491765962320203,2025,2,121.92719256269439,26.934197880206035,81.4988521233375,13.290874241352357,168.35563012984474,0
Benguela,-12.524065348575883,13.559273891300258,2023,4,175.2663123284905,27.20159273636913,95.0,12.05036960312718,164.80874629947556,1
Cunene,-16.394300978385548,15.802451017425895,2025,10,78.7380906074652,37.132060901857415,68.07414249261254,15.489282546882713,215.2145048397262,1
Huíla,-14.698019706678233,13.852170171464484,2025,9,0.0,24.012582176590815,52.40867338446302,12.60157514590483,258.543899394429,0
Uíge,-7.429382916078412,15.145042383818605,2023,1,195.91239236207502,22.222820846772322,95.0,16.717760482885147,140.31441251634487,1
Cabinda,-5.721313452909087,12.33238723741654,2023,7,49.876373331116625,30.576570089516263,70.02771166340516,12.187922375058967,213.8101765474606,1
Benguela,-12.513715006765251,13.299237957061742,2025,5,72.58557532133659,30.308013580557134,63.270694145888626,5.863543317057511,245.64913288679443,0
Cabinda,-5.516768598802041,12.122151346344344,2025,7,166.40195503236527,29.33262699070088,95.0,19.021363369772818,160.57491877184054,1
Cabinda,-5.452842904904564,12.261537594958513,2023,12,289.0131216765706,26.657789809114174,95.0,7.2669659493369,100.0,0
Huambo,-12.802940683444456,15.810754225579597,2025,2,313.97631897194015,23.078037373517216,95.0,11.777809204413526,102.61347673751261,1
Cabinda,-5.553269474809409,11.990255789996011,2024,5,118.3077756746454,26.94095836813557,74.26275727165552,9.944532330653226,164.3657741154535,1
Cunene,-16.323267909727317,15.895514232050125,2025,12,74.8059691320496,28.81878378264217,73.89089022686434,7.859030710322504,198.75578280029566,1
Huíla,-15.036787789258884,14.129472513291638,2024,10,87.12466836146122,24.432056909478582,75.21523767696002,14.4566668001737,225.37535857045202,1
Luanda,-8.892050114761053,13.231418175935532,2023,5,0.0,27.446469071695617,76.44967713501283,11.003855841774486,264.41392407639415,1
Uíge,-7.585874984545646,15.357888080845525,2023,11,237.31253235371605,23.334495336652108,95.0,8.974597018862786,100.0,1
